Insegurança,,Grooming,Distrações,,Acabamento
Falta de Qualidade,,Validação para última hora,Comunicação QA,,Ociosidade Arte
Documentação,,Discutir mais antes de pontuar,Validação para última hora,,Mais Marketing
Falta de Qualidade,,Grooming,Transparência no andamento da Sprint,,Unity
Jira,,Pontualidade,Distrações,,Insegurança
Priorização,,Atualização Jira,Comunicação QA,,Comunicação Diretoria
Pessoas Compartilhadas,,Review,Conhecimento do projeto,,Clareza de objetivos
Unity Editor,,,Agenda Stag,,Arquitetura
Grooming,,,Organizar o dia a dia,,Tempo
Validação para última hora,,,Falta um Artista,,Organização
Jira,,,,,Tempo
Falta de testes,,,,,Comunicação Diretoria
Pontualidade,,,,,Insegurança
Instant,,,,,
